OrderID,Date,CustomerID,Category,Product,Amount,Quantity,Device
1,2025-01-18,C214,Electronics,Mobile,48798,2,Mobile
2,2025-01-12,C115,Electronics,Mobile,38898,2,Mobile
3,2025-01-26,C387,Fashion,Jeans,33318,3,Mobile
4,2025-01-21,C103,Beauty,Shampoo,29639,3,Desktop
5,2025-02-13,C490,Beauty,Perfume,18410,1,Mobile
6,2025-03-19,C276,Electronics,Mobile,25098,1,Desktop
7,2025-02-18,C163,Home,Mixer,48023,2,Tablet
8,2025-03-15,C285,Electronics,Headphones,54555,3,Tablet
9,2025-02-07,C495,Fashion,Shirt,3203,3,Mobile
10,2025-02-28,C242,Electronics,Laptop,56985,1,Desktop
11,2025-02-04,C443,Home,Chair,24460,2,Mobile
12,2025-03-01,C183,Electronics,Laptop,35205,3,Mobile
13,2025-03-29,C212,Beauty,Perfume,42143,3,Tablet
14,2025-02-04,C305,Home,Mixer,15210,1,Desktop
15,2025-03-25,C208,Electronics,Laptop,37370,3,Desktop
16,2025-02-03,C173,Beauty,Facewash,58178,3,Desktop
17,2025-03-16,C234,Fashion,Jeans,49023,3,Tablet
18,2025-03-05,C360,Beauty,Facewash,23923,1,Mobile
19,2025-01-21,C421,Electronics,Mobile,56633,1,Mobile
20,2025-03-09,C339,Beauty,Cream,25416,2,Tablet
21,2025-03-10,C449,Home,Mixer,44783,3,Mobile
22,2025-02-28,C180,Home,Table,7510,2,Desktop
23,2025-03-22,C154,Electronics,Headphones,33006,1,Tablet
24,2025-03-09,C376,Home,Chair,10216,2,Mobile
25,2025-02-09,C285,Electronics,Headphones,32221,1,Mobile
26,2025-03-04,C143,Fashion,Shirt,15985,3,Mobile
27,2025-01-22,C381,Electronics,Laptop,8614,3,Desktop
28,2025-01-26,C453,Home,Lamp,14080,3,Tablet
29,2025-03-08,C324,Home,Lamp,44219,3,Desktop
30,2025-01-03,C273,Beauty,Cream,16446,1,Mobile
31,2025-01-08,C423,Fashion,Jeans,671,1,Tablet
32,2025-03-07,C136,Fashion,Shirt,59537,1,Desktop
33,2025-01-17,C376,Fashion,Dress,44042,2,Mobile
34,2025-01-13,C197,Beauty,Shampoo,51620,2,Desktop
35,2025-01-07,C339,Electronics,Tablet,23419,2,Desktop
36,2025-02-01,C155,Electronics,Mobile,26586,3,Desktop
37,2025-01-24,C316,Fashion,Jeans,35346,2,Mobile
38,2025-01-13,C381,Home,Lamp,16571,1,Desktop
39,2025-03-04,C308,Electronics,Mobile,6312,1,Mobile
40,2025-02-18,C184,Beauty,Shampoo,56865,2,Mobile
41,2025-03-31,C316,Electronics,Tablet,17580,2,Desktop
42,2025-03-16,C129,Beauty,Shampoo,12645,2,Mobile
43,2025-03-06,C344,Electronics,Headphones,3946,1,Tablet
44,2025-03-18,C135,Fashion,Shirt,33481,1,Mobile
45,2025-03-16,C226,Electronics,Laptop,26661,1,Tablet
46,2025-03-08,C389,Electronics,Mobile,27674,3,Tablet
47,2025-01-31,C260,Home,Table,13586,3,Tablet
48,2025-02-28,C253,Home,Lamp,8777,3,Tablet
49,2025-01-13,C388,Home,Mixer,810,2,Tablet
50,2025-01-09,C278,Electronics,Laptop,33353,2,Mobile
